date,close,high,low,open,volume
2008-01-02T00:00:00.000Z,86.62,87.8399,86.0,87.75,4303000
2008-01-03T00:00:00.000Z,86.98,87.64,86.74,86.93,3427900
2008-01-04T00:00:00.000Z,85.82,87.16,85.69,86.83,5393400
2008-01-07T00:00:00.000Z,82.87,86.3,82.17,86.3,9961800
2008-01-08T00:00:00.000Z,79.91,83.37,79.65,83.11,9810600
2008-01-09T00:00:00.000Z,80.3,80.43,77.81,79.72,10307100
2008-01-10T00:00:00.000Z,82.36,83.19,79.86,80.5,9411400
2008-01-11T00:00:00.000Z,80.52,81.78,80.0,81.0,6556600
2008-01-14T00:00:00.000Z,81.67,82.37,80.15,81.58,7732600
2008-01-15T00:00:00.000Z,77.86,81.8,76.0,81.46,16467100
2008-01-16T00:00:00.000Z,79.87,81.31,76.5,76.95,13292400
2008-01-17T00:00:00.000Z,79.52,82.49,79.02,80.95,9303800
2008-01-18T00:00:00.000Z,78.4,80.82,77.76,80.25,7686800
2008-01-22T00:00:00.000Z,77.6,78.74,74.4,74.99,8503300
2008-01-23T00:00:00.000Z,76.57,77.19,74.12,76.02,13028100
2008-01-24T00:00:00.000Z,77.62,78.34,76.48,77.56,7449300
2008-01-25T00:00:00.000Z,77.03,79.67,76.97,78.57,7849500
2008-01-28T00:00:00.000Z,77.6,77.72,76.48,77.29,4864300
2008-01-29T00:00:00.000Z,80.96,81.06,78.27,80.05,9025500
2008-01-30T00:00:00.000Z,82.8699,84.87,79.69,80.0,11331100
2008-01-31T00:00:00.000Z,83.18,83.84,80.8,81.76,7887700
2008-02-01T00:00:00.000Z,82.76,83.99,81.85,83.01,6685900
2008-02-04T00:00:00.000Z,82.9,83.36,81.91,82.51,3106300
2008-02-05T00:00:00.000Z,81.69,82.78,81.35,81.61,4691600
2008-02-06T00:00:00.000Z,79.91,81.95,79.6,81.65,5331700
2008-02-07T00:00:00.000Z,79.75,80.24,78.71,79.4,6779000
2008-02-08T00:00:00.000Z,79.33,80.14,78.81,79.48,4343300
2008-02-11T00:00:00.000Z,81.13,81.39,78.85,79.46,4898200
2008-02-12T00:00:00.000Z,83.56,84.53,81.44,82.11,7980000
2008-02-13T00:00:00.000Z,85.48,85.63,84.01,84.38,6405000
2008-02-14T00:00:00.000Z,85.22,86.06,84.9,85.96,6631600
2008-02-15T00:00:00.000Z,85.18,85.42,84.17,85.37,5749300
2008-02-19T00:00:00.000Z,85.37,86.88,84.83,86.45,4158300
2008-02-20T00:00:00.000Z,84.0,84.69,82.95,84.51,7526400
2008-02-21T00:00:00.000Z,82.01,84.96,81.87,84.12,6688300
2008-02-22T00:00:00.000Z,83.04,83.21,81.75,82.51,5229100
2008-02-25T00:00:00.000Z,84.66,84.74,83.12,83.26,5450600
2008-02-26T00:00:00.000Z,84.57,85.12,83.9,85.12,5171700
2008-02-27T00:00:00.000Z,83.95,85.19,83.4,84.22,4675100
2008-02-28T00:00:00.000Z,84.8,85.0,82.73,83.8,5727400
2008-02-29T00:00:00.000Z,82.79,84.5,82.4,84.02,7667800
2008-03-03T00:00:00.000Z,80.67,80.89,79.25,80.05,9575400
2008-03-04T00:00:00.000Z,79.62,79.99,78.34,79.7,8209200
2008-03-05T00:00:00.000Z,80.7124,81.32,79.67,79.87,5669600
2008-03-06T00:00:00.000Z,79.51,80.72,79.38,80.6,4503500
2008-03-07T00:00:00.000Z,76.6,79.0,76.37,78.69,9657100
2008-03-10T00:00:00.000Z,74.38,76.71,74.38,76.5,9930500
2008-03-11T00:00:00.000Z,73.4,75.75,72.39,75.06,14137400
2008-03-12T00:00:00.000Z,72.45,74.75,72.13,73.99,8966800
2008-03-13T00:00:00.000Z,74.18,74.42,71.585,71.81,10850600
2008-03-14T00:00:00.000Z,76.23,77.19,75.13,75.79,13225400
2008-03-17T00:00:00.000Z,75.49,76.2,74.1356,74.56,5463100
2008-03-18T00:00:00.000Z,76.53,77.0,75.26,76.5,5644000
2008-03-19T00:00:00.000Z,73.45,77.0,73.45,77.0,9195600
2008-03-20T00:00:00.000Z,74.8,75.0,72.72,73.73,8086000
2008-03-24T00:00:00.000Z,76.29,76.48,74.79,75.25,4853800
2008-03-25T00:00:00.000Z,75.9,76.88,75.14,76.88,5969200
2008-03-26T00:00:00.000Z,76.3,76.5,75.6,75.6,4350600
2008-03-27T00:00:00.000Z,74.22,76.36,74.14,75.5,7709400
2008-03-28T00:00:00.000Z,73.47,74.63,73.08,74.44,4616800
2008-03-31T00:00:00.000Z,74.37,74.58,73.4,74.17,7394800
2008-04-01T00:00:00.000Z,75.88,75.89,74.8,75.34,5956000
2008-04-02T00:00:00.000Z,76.85,77.19,75.73,76.1,6121500
2008-04-03T00:00:00.000Z,76.14,77.22,75.9,76.55,5597100
2008-04-04T00:00:00.000Z,75.65,76.63,75.33,76.04,5086600
2008-04-07T00:00:00.000Z,74.98,76.53,74.88,76.53,5388700
2008-04-08T00:00:00.000Z,75.02,75.39,74.04,74.51,5597200
2008-04-09T00:00:00.000Z,78.6,79.9,76.31,76.72,19513400
2008-04-10T00:00:00.000Z,78.43,79.05,77.79,78.45,7873800
2008-04-11T00:00:00.000Z,76.86,78.41,76.72,77.65,5427700
2008-04-14T00:00:00.000Z,77.22,77.64,76.67,76.68,4926500
2008-04-15T00:00:00.000Z,75.7,77.67,75.6,77.5,6337700
2008-04-16T00:00:00.000Z,76.67,76.92,75.64,76.31,4895700
2008-04-17T00:00:00.000Z,76.91,77.26,76.4,76.4,3466400
2008-04-18T00:00:00.000Z,78.66,79.1,77.5,77.5,6742900
2008-04-21T00:00:00.000Z,79.09,79.37,78.17,78.71,4744200
2008-04-22T00:00:00.000Z,78.56,79.99,77.75,79.32,7615500
2008-04-23T00:00:00.000Z,82.09,83.36,79.57,80.65,15488400
2008-04-24T00:00:00.000Z,83.0,83.37,81.65,82.49,5755200
2008-04-25T00:00:00.000Z,84.84,85.25,83.38,83.38,8355000
2008-04-28T00:00:00.000Z,84.98,85.64,84.28,85.01,5378900
2008-04-29T00:00:00.000Z,85.53,86.45,84.54,84.54,4485300
2008-04-30T00:00:00.000Z,84.86,86.18,84.63,85.83,5220600
2008-05-01T00:00:00.000Z,85.41,85.48,84.57,85.05,5083200
2008-05-02T00:00:00.000Z,85.69,86.5,84.98,86.32,3784500
2008-05-05T00:00:00.000Z,85.92,86.07,85.0,85.32,3886400
2008-05-06T00:00:00.000Z,86.15,86.21,85.13,85.59,5079200
2008-05-07T00:00:00.000Z,84.55,86.1,84.42,86.03,5060300
2008-05-08T00:00:00.000Z,84.76,85.2,84.0,84.71,3671600
2008-05-09T00:00:00.000Z,84.06,84.75,83.75,84.43,3328200
2008-05-12T00:00:00.000Z,84.8,85.0,83.28,84.4,5367400
2008-05-13T00:00:00.000Z,85.08,85.29,84.11,84.14,4292400
2008-05-14T00:00:00.000Z,85.69,86.67,85.08,85.3,4909900
2008-05-15T00:00:00.000Z,85.55,86.14,85.0,85.71,6006300
2008-05-16T00:00:00.000Z,85.17,85.84,84.74,85.84,7129900
