date,close,high,low,open,volume
2008-01-02T00:00:00.000Z,87.44,89.43,86.92,88.75,1031000
2008-01-03T00:00:00.000Z,88.5,89.05,87.63,87.79,1363300
2008-01-04T00:00:00.000Z,86.0,88.24,85.86,88.1,1730700
2008-01-07T00:00:00.000Z,85.91,86.7,85.0601,86.5,2181800
2008-01-08T00:00:00.000Z,85.63,87.25,85.22,86.28,2507100
2008-01-09T00:00:00.000Z,88.93,89.04,84.85,85.55,2667100
2008-01-10T00:00:00.000Z,88.83,89.88,88.25,88.49,2214600
2008-01-11T00:00:00.000Z,86.56,88.21,86.06,88.19,1933100
2008-01-14T00:00:00.000Z,86.4,87.69,86.15,87.33,2289100
2008-01-15T00:00:00.000Z,85.32,87.18,84.9,85.5,2071600
2008-01-16T00:00:00.000Z,83.97,85.46,83.62,84.66,2270800
2008-01-17T00:00:00.000Z,80.79,85.6,80.39,84.17,3062100
2008-01-18T00:00:00.000Z,80.8,83.92,80.36,81.5,2635900
2008-01-22T00:00:00.000Z,78.85,80.17,74.01,76.21,3367300
2008-01-23T00:00:00.000Z,79.05,79.05,75.0,76.99,3354800
2008-01-24T00:00:00.000Z,83.07,83.86,79.81,80.53,3768800
2008-01-25T00:00:00.000Z,81.13,84.03,80.88,83.42,3197700
2008-01-28T00:00:00.000Z,82.8,82.98,81.08,81.53,2374400
2008-01-29T00:00:00.000Z,83.32,83.8,82.84,83.15,1659100
2008-01-30T00:00:00.000Z,83.71,85.52,82.93,83.28,1594400
2008-01-31T00:00:00.000Z,84.53,85.08,82.49,83.31,2351700
2008-02-01T00:00:00.000Z,85.34,85.6,84.09,84.9,1510600
2008-02-04T00:00:00.000Z,84.88,85.36,84.46,85.36,1156900
2008-02-05T00:00:00.000Z,82.93,83.99,82.77,83.57,1950600
2008-02-06T00:00:00.000Z,82.99,84.0,82.84,83.185,1840300
2008-02-07T00:00:00.000Z,83.45,83.5,82.16,82.37,2260300
2008-02-08T00:00:00.000Z,83.37,83.87,82.23,82.88,1562800
2008-02-11T00:00:00.000Z,83.3,83.79,82.74,83.51,1593000
2008-02-12T00:00:00.000Z,84.04,84.66,82.93,83.65,2813700
2008-02-13T00:00:00.000Z,84.15,84.71,83.13,84.17,2316400
2008-02-14T00:00:00.000Z,83.33,84.72,82.89,84.32,1957700
2008-02-15T00:00:00.000Z,83.43,83.81,82.42,82.67,1753500
2008-02-19T00:00:00.000Z,83.93,84.64,83.46,84.22,1420800
2008-02-20T00:00:00.000Z,84.16,84.44,82.7,83.37,1490700
2008-02-21T00:00:00.000Z,82.8,84.46,82.65,84.15,1919600
2008-02-22T00:00:00.000Z,83.65,83.76,82.59,83.2,1888100
2008-02-25T00:00:00.000Z,83.93,84.5,82.91,83.82,2565700
2008-02-26T00:00:00.000Z,83.46,83.79,82.91,83.42,1962400
2008-02-27T00:00:00.000Z,83.37,84.75,82.8,82.8,1628500
2008-02-28T00:00:00.000Z,83.0,83.45,82.69,82.94,1186800
2008-02-29T00:00:00.000Z,81.85,82.72,81.65,82.25,1908400
2008-03-03T00:00:00.000Z,81.75,82.48,81.05,81.97,2492300
2008-03-04T00:00:00.000Z,82.61,83.0,81.05,81.55,2589300
2008-03-05T00:00:00.000Z,83.52,83.62,81.94,82.86,2382800
2008-03-06T00:00:00.000Z,83.22,84.28,82.71,83.28,2314500
2008-03-07T00:00:00.000Z,82.81,84.21,82.53,82.75,2121100
2008-03-10T00:00:00.000Z,81.78,83.15,81.76,83.05,1910200
2008-03-11T00:00:00.000Z,83.33,83.82,82.0,83.46,1945000
2008-03-12T00:00:00.000Z,84.62,85.0,83.64,83.68,1885200
2008-03-13T00:00:00.000Z,86.1,86.17,83.32,83.86,3220800
2008-03-14T00:00:00.000Z,84.39,86.9,83.48,86.56,2440500
2008-03-17T00:00:00.000Z,84.28,85.01,82.92,82.92,2191900
2008-03-18T00:00:00.000Z,85.35,85.99,84.23,85.62,2567600
2008-03-19T00:00:00.000Z,85.04,87.5,85.04,86.26,2106600
2008-03-20T00:00:00.000Z,85.66,85.9,84.59,85.71,1895600
2008-03-24T00:00:00.000Z,85.36,86.49,84.68,86.39,1704500
2008-03-25T00:00:00.000Z,85.01,86.0,84.67,85.3,1959400
2008-03-26T00:00:00.000Z,84.04,85.0,83.83,84.71,1594200
2008-03-27T00:00:00.000Z,83.12,84.08,83.11,84.06,1367600
2008-03-28T00:00:00.000Z,83.36,84.42,83.17,83.55,1321300
2008-03-31T00:00:00.000Z,83.37,83.78,82.67,82.85,2109500
2008-04-01T00:00:00.000Z,85.9,86.39,83.83,84.66,1910800
2008-04-02T00:00:00.000Z,85.44,86.5,84.53,86.15,2036700
2008-04-03T00:00:00.000Z,84.65,85.59,84.46,85.0,2120200
2008-04-04T00:00:00.000Z,85.42,86.0,84.24,85.0,1374000
2008-04-07T00:00:00.000Z,85.51,86.39,85.19,85.87,1513700
2008-04-08T00:00:00.000Z,84.8,85.17,84.225,84.96,1442600
2008-04-09T00:00:00.000Z,84.97,85.4475,84.35,85.01,1853900
2008-04-10T00:00:00.000Z,84.76,85.29,84.33,84.81,1415400
2008-04-11T00:00:00.000Z,83.65,84.59,83.55,83.92,1162700
2008-04-14T00:00:00.000Z,83.9,84.34,83.61,83.94,1316900
2008-04-15T00:00:00.000Z,82.9,84.41,82.47,84.27,2068600
