date,close,high,low,open,volume
2008-01-02T00:00:00.000Z,105.35,107.2,104.94,105.26,2753000
2008-01-03T00:00:00.000Z,107.93,108.81,104.71,105.35,2435800
2008-01-04T00:00:00.000Z,106.5,107.37,105.63,107.23,2319100
2008-01-07T00:00:00.000Z,106.26,107.94,104.93,107.36,2749500
2008-01-08T00:00:00.000Z,106.3,108.21,106.17,106.26,3160500
2008-01-09T00:00:00.000Z,108.53,108.77,106.42,106.51,2602400
2008-01-10T00:00:00.000Z,108.54,109.88,107.32,107.93,2639600
2008-01-11T00:00:00.000Z,109.46,110.25,107.5,107.58,3117000
2008-01-14T00:00:00.000Z,108.09,110.12,107.15,110.12,2724500
2008-01-15T00:00:00.000Z,106.81,108.63,106.38,107.76,3033600
2008-01-16T00:00:00.000Z,105.86,107.1,105.16,106.11,3042400
2008-01-17T00:00:00.000Z,102.15,107.12,101.93,105.97,3592600
2008-01-18T00:00:00.000Z,101.88,104.33,101.07,102.65,3291200
2008-01-22T00:00:00.000Z,101.02,102.18,90.44,96.98,4440500
2008-01-23T00:00:00.000Z,101.69,102.04,97.06,98.31,3977200
2008-01-24T00:00:00.000Z,105.9,106.81,102.11,102.74,3713600
2008-01-25T00:00:00.000Z,105.49,107.07,104.97,106.99,3280100
2008-01-28T00:00:00.000Z,106.87,107.05,105.43,106.33,2832200
2008-01-29T00:00:00.000Z,106.44,107.47,105.9,107.33,1992000
2008-01-30T00:00:00.000Z,106.53,108.45,106.27,106.6399,2171900
2008-01-31T00:00:00.000Z,107.92,108.35,104.6,106.45,2894100
2008-02-01T00:00:00.000Z,108.12,109.8,106.87,107.78,2658200
2008-02-04T00:00:00.000Z,109.78,110.15,106.01,108.15,2666700
2008-02-05T00:00:00.000Z,107.77,109.66,107.14,108.87,2364800
2008-02-06T00:00:00.000Z,105.6,108.72,105.18,108.2,2369400
2008-02-07T00:00:00.000Z,105.83,106.94,104.62,105.67,2981000
2008-02-08T00:00:00.000Z,105.76,106.26,104.76,105.21,1725800
2008-02-11T00:00:00.000Z,107.61,107.79,105.53,105.54,1583300
2008-02-12T00:00:00.000Z,107.21,108.06,106.6,108.06,2208900
2008-02-13T00:00:00.000Z,108.87,109.15,107.01,107.49,1871400
2008-02-14T00:00:00.000Z,107.1,109.5,106.6,108.74,1293300
2008-02-15T00:00:00.000Z,105.76,107.52,105.0,107.07,2095600
2008-02-19T00:00:00.000Z,107.34,108.0,105.81,106.76,1814800
2008-02-20T00:00:00.000Z,107.07,107.32,105.85,106.61,1270300
2008-02-21T00:00:00.000Z,105.0,107.94,104.74,107.24,2958700
2008-02-22T00:00:00.000Z,105.12,105.51,103.17,105.02,1678600
2008-02-25T00:00:00.000Z,106.63,106.64,104.28,105.39,1749500
2008-02-26T00:00:00.000Z,105.95,106.45,105.33,105.9,1712800
2008-02-27T00:00:00.000Z,105.36,106.72,105.11,105.4,1693800
2008-02-28T00:00:00.000Z,105.16,105.8,103.65,104.65,1833500
2008-02-29T00:00:00.000Z,103.2,104.33,102.87,104.0,1958900
2008-03-03T00:00:00.000Z,104.0,104.0,102.41,103.38,1731000
2008-03-04T00:00:00.000Z,103.72,104.09,102.13,102.6,1872900
