date,close,high,low,open,volume
2008-01-02T00:00:00.000Z,78.6,79.05,77.99,78.68,1473300
2008-01-03T00:00:00.000Z,79.28,79.41,78.71,78.92,2149500
2008-01-04T00:00:00.000Z,78.85,79.69,78.67,79.49,1957100
2008-01-07T00:00:00.000Z,78.09,79.32,77.26,79.12,2063900
2008-01-08T00:00:00.000Z,76.41,78.62,76.29,78.62,2210700
2008-01-09T00:00:00.000Z,79.89,79.92,76.14,76.67,2739700
2008-01-10T00:00:00.000Z,79.43,80.31,79.029,79.37,1973900
2008-01-11T00:00:00.000Z,79.87,81.3,78.53,78.86,2425400
2008-01-14T00:00:00.000Z,79.52,80.55,79.38,80.35,1849600
2008-01-15T00:00:00.000Z,81.1,82.27,79.59,79.86,3114800
2008-01-16T00:00:00.000Z,79.98,81.73,79.65,80.58,3252400
2008-01-17T00:00:00.000Z,78.55,80.09,78.27,79.8,3906300
2008-01-18T00:00:00.000Z,78.56,79.96,78.27,78.36,2829900
2008-01-22T00:00:00.000Z,78.2,79.21,75.53,76.65,2890400
2008-01-23T00:00:00.000Z,78.32,78.72,76.01,78.0,3740500
2008-01-24T00:00:00.000Z,77.44,78.66,76.33,77.04,3168100
2008-01-25T00:00:00.000Z,78.07,79.44,77.13,78.03,2809200
2008-01-28T00:00:00.000Z,78.3,78.75,77.58,78.02,2009700
2008-01-29T00:00:00.000Z,79.19,80.13,78.6,78.91,2908000
2008-01-30T00:00:00.000Z,80.86,82.18,78.74,79.01,2856500
2008-01-31T00:00:00.000Z,79.36,81.29,78.13,79.46,3700700
2008-02-01T00:00:00.000Z,80.48,80.63,78.51,79.86,2616900
2008-02-04T00:00:00.000Z,80.94,81.31,80.04,80.48,1558200
2008-02-05T00:00:00.000Z,78.82,80.1046,78.82,79.68,1947500
2008-02-06T00:00:00.000Z,77.94,79.43,77.78,79.43,2779700
2008-02-07T00:00:00.000Z,79.11,79.11,77.16,77.7,2640700
2008-02-08T00:00:00.000Z,79.07,79.55,78.48,78.84,2544600
2008-02-11T00:00:00.000Z,79.51,79.98,78.89,79.0,2366900
2008-02-12T00:00:00.000Z,79.44,80.15,79.01,79.84,2139100
2008-02-13T00:00:00.000Z,80.15,80.3,79.625,79.89,1996100
2008-02-14T00:00:00.000Z,79.76,80.68,79.52,80.08,1704100
2008-02-15T00:00:00.000Z,79.92,80.32,79.0,79.73,1771600
2008-02-19T00:00:00.000Z,80.6,81.32,80.24,80.68,1640900
2008-02-20T00:00:00.000Z,81.0,81.0,79.61,80.04,2311700
2008-02-21T00:00:00.000Z,79.4,81.26,79.28,81.13,2119400
2008-02-22T00:00:00.000Z,79.09,79.85,77.951,79.5,2151500
2008-02-25T00:00:00.000Z,80.04,80.04,78.95,78.98,2289700
2008-02-26T00:00:00.000Z,79.52,79.71,78.79,79.51,1819400
2008-02-27T00:00:00.000Z,80.82,82.38,79.2,79.2,4121700
2008-02-28T00:00:00.000Z,79.97,81.9,79.36,81.9,2178000
2008-02-29T00:00:00.000Z,78.61,79.69,78.44,79.26,2240100
2008-03-03T00:00:00.000Z,82.57,83.4,81.16,82.82,5323500
2008-03-04T00:00:00.000Z,80.25,81.97,79.41,81.97,4247100
2008-03-05T00:00:00.000Z,80.33,80.59,79.47,80.0,2426200
2008-03-06T00:00:00.000Z,79.62,80.25,79.17,79.79,2097200
2008-03-07T00:00:00.000Z,79.01,80.26,78.67,79.72,1902100
2008-03-10T00:00:00.000Z,78.39,79.54,78.33,79.24,1971000
2008-03-11T00:00:00.000Z,79.68,80.0,78.3,80.0,1835600
2008-03-12T00:00:00.000Z,79.35,80.28,79.21,79.7,1746200
2008-03-13T00:00:00.000Z,78.8,79.2,78.02,78.74,2344100
2008-03-14T00:00:00.000Z,77.55,79.49,76.87,79.21,3321800
2008-03-17T00:00:00.000Z,79.3,80.0,76.01,76.01,3503100
2008-03-18T00:00:00.000Z,79.79,80.64,78.71,80.3,2517100
2008-03-19T00:00:00.000Z,78.24,80.63,78.24,80.02,2412300
2008-03-20T00:00:00.000Z,78.43,79.17,78.0,78.9,2617400
2008-03-24T00:00:00.000Z,78.37,78.93,78.01,78.6,1729200
2008-03-25T00:00:00.000Z,78.88,79.17,77.8,78.33,1852500
2008-03-26T00:00:00.000Z,78.36,78.77,78.04,78.13,1482300
2008-03-27T00:00:00.000Z,77.82,79.0,77.77,78.73,1610900
2008-03-28T00:00:00.000Z,77.93,78.76,77.75,77.89,1244600
2008-03-31T00:00:00.000Z,77.81,78.51,77.01,77.97,2353100
2008-04-01T00:00:00.000Z,78.25,78.62,77.02,77.91,2107300
2008-04-02T00:00:00.000Z,78.94,79.51,78.01,78.62,1763300
2008-04-03T00:00:00.000Z,79.12,79.24,78.3,78.92,1784900
2008-04-04T00:00:00.000Z,78.33,79.5,78.17,79.34,1552000
2008-04-07T00:00:00.000Z,78.45,79.1,77.82,79.05,1737400
2008-04-08T00:00:00.000Z,78.07,78.26,77.6,77.64,1088300
2008-04-09T00:00:00.000Z,77.96,78.41,77.57,77.92,1370800
2008-04-10T00:00:00.000Z,78.06,78.3,77.57,77.81,1261400
2008-04-11T00:00:00.000Z,76.47,77.91,76.37,77.67,1617400
2008-04-14T00:00:00.000Z,76.84,77.09,76.42,76.46,808700
2008-04-15T00:00:00.000Z,71.57,76.45,71.34,76.45,5226000
2008-04-16T00:00:00.000Z,71.1,72.77,69.48,72.03,5706400
2008-04-17T00:00:00.000Z,71.07,71.57,70.91,71.04,2862200
2008-04-18T00:00:00.000Z,71.36,72.12,71.0,72.12,2159600
2008-04-21T00:00:00.000Z,71.08,71.72,71.01,71.34,1442500
2008-04-22T00:00:00.000Z,69.56,70.91,69.53,70.47,2426700
2008-04-23T00:00:00.000Z,69.48,70.39,68.44,70.16,3276800
2008-04-24T00:00:00.000Z,72.55,73.05,69.28,69.33,3923800
2008-04-25T00:00:00.000Z,73.99,75.95,72.52,75.5,3395200
2008-04-28T00:00:00.000Z,73.28,74.21,72.94,73.63,3105000
2008-04-29T00:00:00.000Z,74.18,74.46,73.31,73.39,2717100
2008-04-30T00:00:00.000Z,73.57,74.96,73.57,74.0,2589100
2008-05-01T00:00:00.000Z,74.77,74.86,73.3,73.34,2459200
2008-05-02T00:00:00.000Z,75.0,75.58,74.51,74.84,1643200
2008-05-05T00:00:00.000Z,74.44,75.01,73.99,74.48,1537200
2008-05-06T00:00:00.000Z,74.7,74.92,73.62,73.8,1776700
2008-05-07T00:00:00.000Z,74.27,74.99,74.27,74.88,3477900
2008-05-08T00:00:00.000Z,74.67,74.9,73.64,74.41,1858700
2008-05-09T00:00:00.000Z,74.38,75.02,72.81,72.81,2117300
2008-05-12T00:00:00.000Z,74.92,75.0,73.95,74.71,1349900
2008-05-13T00:00:00.000Z,75.36,75.77,74.52,74.9,1905400
2008-05-14T00:00:00.000Z,75.1,76.26,75.09,75.84,2065700
2008-05-15T00:00:00.000Z,75.13,75.605,74.5,75.01,1857200
2008-05-16T00:00:00.000Z,75.59,75.67,74.52,74.98,2225200
2008-05-19T00:00:00.000Z,77.01,77.45,75.34,75.5,2649200
2008-05-20T00:00:00.000Z,75.82,76.8,75.74,76.79,1833800
2008-05-21T00:00:00.000Z,74.49,76.32,74.39,75.87,2280600
2008-05-22T00:00:00.000Z,74.83,75.2,74.35,74.49,1552000
2008-05-23T00:00:00.000Z,73.93,74.79,73.93,74.48,1308300
2008-05-27T00:00:00.000Z,75.03,75.2,73.78,73.83,1925500
2008-05-28T00:00:00.000Z,74.74,75.08,74.05,75.08,2075900
2008-05-29T00:00:00.000Z,74.85,75.07,73.48,74.45,1342700
2008-05-30T00:00:00.000Z,75.46,75.78,74.49,75.1,1732000
2008-06-02T00:00:00.000Z,74.39,75.43,73.89,75.32,1651900
2008-06-03T00:00:00.000Z,73.86,74.99,73.392,74.61,1899700
2008-06-04T00:00:00.000Z,73.48,73.86,73.02,73.86,2629500
2008-06-05T00:00:00.000Z,74.58,74.67,73.0,73.6,2271900
2008-06-06T00:00:00.000Z,71.7,74.42,71.67,74.12,3095400
2008-06-09T00:00:00.000Z,71.99,72.24,71.42,71.66,1567500
2008-06-10T00:00:00.000Z,71.78,72.4,71.31,71.62,1962500
2008-06-11T00:00:00.000Z,71.46,72.88,71.46,71.78,2186200
2008-06-12T00:00:00.000Z,71.53,73.06,71.4,71.95,1768300
2008-06-13T00:00:00.000Z,72.3,72.87,71.63,72.26,1626600
2008-06-16T00:00:00.000Z,72.4,72.72,71.63,72.5,1617400
