date,close,high,low,open,volume
2008-01-02T00:00:00.000Z,75.21,77.14,74.85,76.64,4262900
2008-01-03T00:00:00.000Z,76.28,76.69,75.02,75.04,4355800
2008-01-04T00:00:00.000Z,75.02,76.19,74.9,75.69,5540300
2008-01-07T00:00:00.000Z,74.67,75.7,74.1,75.49,5850900
2008-01-08T00:00:00.000Z,71.79,75.19,71.44,74.74,8250900
2008-01-09T00:00:00.000Z,71.96,73.07,70.56,71.67,9232300
2008-01-10T00:00:00.000Z,72.39,72.77,70.03,71.56,7131600
2008-01-11T00:00:00.000Z,71.68,72.47,71.28,72.03,5701600
2008-01-14T00:00:00.000Z,72.19,72.5,71.61,72.11,4291900
2008-01-15T00:00:00.000Z,71.36,72.285,71.18,71.62,4562500
2008-01-16T00:00:00.000Z,71.04,72.25,70.62,71.28,7095600
2008-01-17T00:00:00.000Z,68.09,71.21,67.66,70.98,9203500
2008-01-18T00:00:00.000Z,68.05,70.0,67.71,68.58,9047600
2008-01-22T00:00:00.000Z,67.24,68.04,65.2,65.96,11280000
2008-01-23T00:00:00.000Z,70.98,71.39,66.08,66.26,12312800
2008-01-24T00:00:00.000Z,72.56,72.87,71.15,71.41,8412400
2008-01-25T00:00:00.000Z,72.75,74.22,72.5,73.53,8006300
2008-01-28T00:00:00.000Z,73.73,73.95,71.99,72.76,5819900
2008-01-29T00:00:00.000Z,73.18,74.322,72.71,74.27,4904200
2008-01-30T00:00:00.000Z,72.75,74.41,72.34,72.52,6561400
2008-01-31T00:00:00.000Z,73.27,74.0,71.65,71.65,7019700
2008-02-01T00:00:00.000Z,74.12,74.26,73.25,73.58,4609000
2008-02-04T00:00:00.000Z,74.05,74.31,73.6,74.14,3344100
2008-02-05T00:00:00.000Z,72.35,73.74,72.2,72.9,6287600
2008-02-06T00:00:00.000Z,71.87,72.94,71.7,72.7,4697800
2008-02-07T00:00:00.000Z,71.47,71.91,70.83,71.53,7327200
2008-02-08T00:00:00.000Z,71.35,72.09,70.83,71.22,5001200
2008-02-11T00:00:00.000Z,71.57,71.66,70.42,71.47,3630800
2008-02-12T00:00:00.000Z,72.82,73.5,71.72,71.88,5039500
2008-02-13T00:00:00.000Z,73.52,73.52,72.44,73.23,4690000
2008-02-14T00:00:00.000Z,72.65,73.7,72.48,73.62,4003500
2008-02-15T00:00:00.000Z,71.53,72.5,70.96,72.43,5271700
2008-02-19T00:00:00.000Z,71.95,72.65,71.79,72.49,3932600
2008-02-20T00:00:00.000Z,72.05,72.1,70.9,71.46,3693100
2008-02-21T00:00:00.000Z,70.89,72.18,70.83,72.17,4581200
2008-02-22T00:00:00.000Z,72.23,72.44,70.69,71.32,3706800
2008-02-25T00:00:00.000Z,73.41,73.57,72.2,72.36,6395800
2008-02-26T00:00:00.000Z,73.29,73.75,72.69,72.92,5176400
2008-02-27T00:00:00.000Z,72.93,73.46,72.5,72.99,5050900
2008-02-28T00:00:00.000Z,72.17,72.86,71.79,72.55,4218900
2008-02-29T00:00:00.000Z,70.51,71.85,70.36,71.65,4676500
2008-03-03T00:00:00.000Z,69.4,69.94,68.2,69.74,8237300
2008-03-04T00:00:00.000Z,68.9,69.08,68.2,68.9,8104200
2008-03-05T00:00:00.000Z,69.73,70.28,68.29,68.29,5346400
2008-03-06T00:00:00.000Z,68.83,70.19,68.82,69.53,4907700
2008-03-07T00:00:00.000Z,67.49,69.275,67.36,68.49,6758200
2008-03-10T00:00:00.000Z,66.23,67.6,66.14,67.6,7074100
2008-03-11T00:00:00.000Z,68.37,68.37,66.53,67.71,5990200
2008-03-12T00:00:00.000Z,68.2,69.02,68.05,68.5,4332300
2008-03-13T00:00:00.000Z,68.51,68.99,67.08,67.39,5171900
2008-03-14T00:00:00.000Z,67.71,69.15,66.95,69.15,6022500
2008-03-17T00:00:00.000Z,67.56,68.19,66.29,66.29,7766200
2008-03-18T00:00:00.000Z,69.83,69.86,68.35,68.79,7056600
2008-03-19T00:00:00.000Z,68.76,70.49,68.76,69.99,6099400
2008-03-20T00:00:00.000Z,69.01,69.68,68.14,69.1,6408100
2008-03-24T00:00:00.000Z,70.34,70.7,69.2,69.42,4318900
2008-03-25T00:00:00.000Z,70.16,70.6,69.55,70.42,4624000
2008-03-26T00:00:00.000Z,69.61,69.91,69.21,69.9,4235300
2008-03-27T00:00:00.000Z,69.41,70.58,69.265,69.94,4293400
2008-03-28T00:00:00.000Z,68.55,70.24,68.34,69.74,4842200
2008-03-31T00:00:00.000Z,68.82,69.33,68.16,68.66,5188800
2008-04-01T00:00:00.000Z,71.24,71.6,69.24,69.24,7358100
2008-04-02T00:00:00.000Z,71.18,71.84,70.84,71.73,5325700
2008-04-03T00:00:00.000Z,70.76,71.14,70.17,71.12,3648200
2008-04-04T00:00:00.000Z,71.73,72.4,70.7,70.73,4539700
2008-04-07T00:00:00.000Z,71.79,72.57,71.48,71.99,3915800
2008-04-08T00:00:00.000Z,71.8,71.8,71.0,71.31,3091600
2008-04-09T00:00:00.000Z,70.81,72.02,70.3,71.7,4340200
2008-04-10T00:00:00.000Z,71.85,72.18,70.59,70.68,4457000
2008-04-11T00:00:00.000Z,69.53,70.99,69.35,70.69,7797400
2008-04-14T00:00:00.000Z,69.99,70.41,69.37,69.53,5101000
2008-04-15T00:00:00.000Z,70.84,71.45,70.05,70.5,4403900
2008-04-16T00:00:00.000Z,72.63,73.23,71.15,71.5,6429800
2008-04-17T00:00:00.000Z,70.79,71.42,70.09,71.33,6664400
2008-04-18T00:00:00.000Z,72.51,72.61,71.19,72.13,7034800
2008-04-21T00:00:00.000Z,72.09,72.34,71.6,71.98,3622900
2008-04-22T00:00:00.000Z,71.44,71.9,70.92,71.55,4094200
2008-04-23T00:00:00.000Z,71.86,72.34,71.04,71.85,4533700
2008-04-24T00:00:00.000Z,72.7,73.13,71.76,72.0,4519100
2008-04-25T00:00:00.000Z,72.68,73.11,72.09,73.0,3398200
2008-04-28T00:00:00.000Z,73.04,73.6,72.53,72.53,4060900
2008-04-29T00:00:00.000Z,73.11,73.36,72.34,73.09,3380800
2008-04-30T00:00:00.000Z,72.47,73.84,72.33,73.11,5035700
2008-05-01T00:00:00.000Z,74.5,74.7,72.5,72.5,5167200
2008-05-02T00:00:00.000Z,75.1,75.4,74.59,74.91,5497200
2008-05-05T00:00:00.000Z,74.62,75.0,74.42,74.69,3386200
2008-05-06T00:00:00.000Z,74.68,74.92,73.84,74.48,2564300
2008-05-07T00:00:00.000Z,73.03,75.0,73.03,74.86,4349500
2008-05-08T00:00:00.000Z,74.06,74.34,73.23,73.35,3825900
2008-05-09T00:00:00.000Z,73.13,73.63,72.39,73.63,3988200
2008-05-12T00:00:00.000Z,74.57,74.57,73.13,73.17,3333200
2008-05-13T00:00:00.000Z,74.92,75.22,74.17,74.61,3396800
2008-05-14T00:00:00.000Z,75.16,75.86,74.66,75.08,4479000
2008-05-15T00:00:00.000Z,74.29,75.02,74.06,74.9,4928000
2008-05-16T00:00:00.000Z,73.96,74.56,73.49,74.26,5709700
2008-05-19T00:00:00.000Z,74.36,75.0,73.76,74.03,3627700
2008-05-20T00:00:00.000Z,73.4,74.25,73.01,74.15,5023600
2008-05-21T00:00:00.000Z,72.02,74.02,71.87,73.67,6014100
2008-05-22T00:00:00.000Z,71.84,72.36,71.55,72.02,3920800
2008-05-23T00:00:00.000Z,70.01,71.43,69.89,71.43,7029500
2008-05-27T00:00:00.000Z,70.8,70.84,69.83,69.87,4619400
2008-05-28T00:00:00.000Z,70.23,71.22,69.73,71.03,4960400
2008-05-29T00:00:00.000Z,70.23,71.1,69.5,69.96,5738200
2008-05-30T00:00:00.000Z,71.04,71.23,69.76,70.3,5305600
2008-06-02T00:00:00.000Z,70.73,71.03,70.01,70.62,4366500
2008-06-03T00:00:00.000Z,69.76,71.1,69.26,70.97,6935200
2008-06-04T00:00:00.000Z,69.26,69.71,68.95,69.42,7153700
2008-06-05T00:00:00.000Z,69.97,70.1,69.07,69.65,5444200
2008-06-06T00:00:00.000Z,67.01,69.43,66.93,69.43,11831800
2008-06-09T00:00:00.000Z,67.55,67.74,66.47,67.71,6224000
2008-06-10T00:00:00.000Z,67.08,67.61,67.02,67.2,5212300
2008-06-11T00:00:00.000Z,66.65,67.2,66.59,67.05,6100500
2008-06-12T00:00:00.000Z,67.92,69.0,67.15,67.21,8033700
2008-06-13T00:00:00.000Z,68.56,69.14,68.07,68.51,5055200
2008-06-16T00:00:00.000Z,68.88,69.23,67.91,68.35,4931700
2008-06-17T00:00:00.000Z,68.41,69.37,68.19,69.37,5220900
2008-06-18T00:00:00.000Z,68.07,68.69,67.85,67.85,5021200
2008-06-19T00:00:00.000Z,68.82,69.0,66.99,68.17,5261000
2008-06-20T00:00:00.000Z,68.8,68.94,67.78,68.638,8822500
2008-06-23T00:00:00.000Z,68.82,69.23,68.43,69.23,4618400
2008-06-24T00:00:00.000Z,68.16,69.0,67.95,68.7,5778700
2008-06-25T00:00:00.000Z,66.02,68.28,65.82,68.28,10966100
2008-06-26T00:00:00.000Z,62.79,65.68,62.65,65.41,14575300
2008-06-27T00:00:00.000Z,61.15,62.75,61.05,62.73,13526000
2008-06-30T00:00:00.000Z,61.7,62.15,60.51,61.15,9812800
2008-07-01T00:00:00.000Z,60.68,61.34,59.55,60.9,14621100
2008-07-02T00:00:00.000Z,59.7,61.21,59.7,61.02,9032400
2008-07-03T00:00:00.000Z,61.05,61.09,59.99,60.08,5401400
2008-07-07T00:00:00.000Z,60.58,62.06,60.22,61.19,7265500
2008-07-08T00:00:00.000Z,61.77,62.46,60.5,60.5,6953300
2008-07-09T00:00:00.000Z,61.12,62.18,61.02,61.96,8425900
2008-07-10T00:00:00.000Z,62.17,62.4,61.12,61.12,6793500
2008-07-11T00:00:00.000Z,60.69,61.8,59.76,61.31,8627600
2008-07-14T00:00:00.000Z,61.05,61.56,60.15,61.31,4474200
2008-07-15T00:00:00.000Z,60.08,60.84,58.87,60.68,6742800
2008-07-16T00:00:00.000Z,61.11,61.25,58.96,60.16,8582700
2008-07-17T00:00:00.000Z,64.7,65.31,62.58,64.5,14445600
2008-07-18T00:00:00.000Z,64.09,65.0,63.4,65.0,7980500
2008-07-21T00:00:00.000Z,64.05,64.48,63.31,64.48,4690200
2008-07-22T00:00:00.000Z,65.27,65.33,63.71,64.09,6555000
2008-07-23T00:00:00.000Z,65.78,65.96,64.74,65.47,6400300
2008-07-24T00:00:00.000Z,64.2,65.983,64.04,65.94,6510800
2008-07-25T00:00:00.000Z,65.23,65.29,64.37,64.39,5081900
2008-07-28T00:00:00.000Z,64.07,65.48,64.01,65.48,4648200
2008-07-29T00:00:00.000Z,65.52,65.63,64.0,64.04,5699900
2008-07-30T00:00:00.000Z,66.25,66.62,65.38,65.64,5697900
2008-07-31T00:00:00.000Z,63.98,66.05,63.95,65.8,6844300
2008-08-01T00:00:00.000Z,63.56,64.33,62.94,64.07,6094400
2008-08-04T00:00:00.000Z,63.76,64.23,62.65,63.47,5049800
2008-08-05T00:00:00.000Z,65.54,65.6,63.67,64.16,5641400
2008-08-06T00:00:00.000Z,66.55,66.74,64.92,65.39,7149000
2008-08-07T00:00:00.000Z,64.74,65.95,64.64,65.83,6972200
2008-08-08T00:00:00.000Z,66.86,66.95,64.5,64.89,5910100
2008-08-11T00:00:00.000Z,67.22,67.6,66.35,66.69,4739700
2008-08-12T00:00:00.000Z,66.51,67.24,66.3,66.96,4388800
2008-08-13T00:00:00.000Z,66.1,66.56,65.21,66.14,4356400
2008-08-14T00:00:00.000Z,66.12,67.0,65.31,65.71,4571900
2008-08-15T00:00:00.000Z,66.8,67.3,66.03,66.35,4445900
2008-08-18T00:00:00.000Z,65.83,67.11,65.28,67.11,4439600
2008-08-19T00:00:00.000Z,64.95,65.46,64.61,65.29,3936500
2008-08-20T00:00:00.000Z,64.75,65.15,63.99,64.98,4520400
2008-08-21T00:00:00.000Z,64.21,64.68,63.52,64.1,4074700
2008-08-22T00:00:00.000Z,65.98,66.06,63.0,64.88,4098100
2008-08-25T00:00:00.000Z,64.96,65.79,64.4809,65.7,4590300
2008-08-26T00:00:00.000Z,64.89,65.13,64.36,64.65,3123700
2008-08-27T00:00:00.000Z,65.05,65.3,64.5,64.86,3678000
2008-08-28T00:00:00.000Z,66.72,66.98,65.01,65.39,3580500
2008-08-29T00:00:00.000Z,65.59,66.89,65.43,66.34,3986800
2008-09-02T00:00:00.000Z,66.16,67.95,65.7,66.43,5535000
2008-09-03T00:00:00.000Z,67.42,67.8,66.3,67.8,5819500
2008-09-04T00:00:00.000Z,64.88,66.99,64.24,66.72,8575600
2008-09-05T00:00:00.000Z,64.08,65.07,63.68,64.48,6804400
2008-09-08T00:00:00.000Z,65.78,66.08,64.3,65.27,7362800
2008-09-09T00:00:00.000Z,64.11,66.0,64.11,65.56,7440800
2008-09-10T00:00:00.000Z,63.32,64.45,62.9,64.45,6220500
2008-09-11T00:00:00.000Z,63.93,63.93,62.32,62.99,7178300
2008-09-12T00:00:00.000Z,64.46,64.9,63.35,63.41,5847900
2008-09-15T00:00:00.000Z,63.12,64.12,62.52,62.83,8135200
2008-09-16T00:00:00.000Z,63.11,63.79,61.9,62.16,9600500
2008-09-17T00:00:00.000Z,60.71,62.58,60.59,62.27,9021400
2008-09-18T00:00:00.000Z,62.49,62.78,59.64,61.33,10685500
2008-09-19T00:00:00.000Z,64.3,68.0,61.01,64.51,11065200
2008-09-22T00:00:00.000Z,61.62,64.6,61.28,63.53,7456300
2008-09-23T00:00:00.000Z,60.15,62.47,59.96,61.7,6570000
2008-09-24T00:00:00.000Z,59.63,60.72,59.135,59.63,5877000
