aggregated_amount,time_period
3392074741.45,2008-01-01T00:00:00.000Z
1705567428.55,2008-02-01T00:00:00.000Z
1762393942.59,2008-03-01T00:00:00.000Z
602569595.84,2008-04-01T00:00:00.000Z
951290710.37,2008-05-01T00:00:00.000Z
935702937.17,2008-06-01T00:00:00.000Z
801933407.22,2008-07-01T00:00:00.000Z
1940487113.14,2008-08-01T00:00:00.000Z
2283025809.82,2008-09-01T00:00:00.000Z
2291937656.8,2008-10-01T00:00:00.000Z
2935746272.29,2008-11-01T00:00:00.000Z
3781542493.48,2008-12-01T00:00:00.000Z
1182758449.93,2009-01-01T00:00:00.000Z
3452282946.16,2009-02-01T00:00:00.000Z
927247120.89,2009-03-01T00:00:00.000Z
1168147330.97,2009-04-01T00:00:00.000Z
1252774056.14,2009-05-01T00:00:00.000Z
754289907.09,2009-06-01T00:00:00.000Z
1180316743.62,2009-07-01T00:00:00.000Z
1026199181.71,2009-08-01T00:00:00.000Z
1390830704.62,2009-09-01T00:00:00.000Z
1768073422.97,2009-10-01T00:00:00.000Z
2356028825.17,2009-11-01T00:00:00.000Z
2404382332.67,2009-12-01T00:00:00.000Z
1954713418.58,2010-01-01T00:00:00.000Z
1424878280.65,2010-02-01T00:00:00.000Z
1114530462.17,2010-03-01T00:00:00.000Z
723733248.03,2010-04-01T00:00:00.000Z
810805635.87,2010-05-01T00:00:00.000Z
2267396262.22,2010-06-01T00:00:00.000Z
678968478.45,2010-07-01T00:00:00.000Z
774486390.08,2010-08-01T00:00:00.000Z
3320612441.97,2010-09-01T00:00:00.000Z
1996827898.32,2010-10-01T00:00:00.000Z
1167664878.28,2010-11-01T00:00:00.000Z
2997566947.67,2010-12-01T00:00:00.000Z
2763943938.88,2011-01-01T00:00:00.000Z
1374460613.77,2011-02-01T00:00:00.000Z
2930637368.92,2011-03-01T00:00:00.000Z
642690760.11,2011-04-01T00:00:00.000Z
1310035812.75,2011-05-01T00:00:00.000Z
2630616436.12,2011-06-01T00:00:00.000Z
758013882.65,2011-07-01T00:00:00.000Z
1195692385.7,2011-08-01T00:00:00.000Z
2415157341.02,2011-09-01T00:00:00.000Z
864246995.79,2011-10-01T00:00:00.000Z
3047946760.41,2011-11-01T00:00:00.000Z
2201144183.22,2011-12-01T00:00:00.000Z
3807019803.04,2012-01-01T00:00:00.000Z
1902053138.98,2012-02-01T00:00:00.000Z
5278319709.35,2012-03-01T00:00:00.000Z
1095175949.82,2012-04-01T00:00:00.000Z
1308298600.13,2012-05-01T00:00:00.000Z
5127242771.48,2012-06-01T00:00:00.000Z
1136640218.72,2012-07-01T00:00:00.000Z
1136232482.9,2012-08-01T00:00:00.000Z
3218841638.33,2012-09-01T00:00:00.000Z
1259650865.74,2012-10-01T00:00:00.000Z
3202947327.69,2012-11-01T00:00:00.000Z
3339171934.81,2012-12-01T00:00:00.000Z
545028700.0,2013-01-01T00:00:00.000Z
686169675.19,2013-02-01T00:00:00.000Z
686179275.14,2013-03-01T00:00:00.000Z
744658981.31,2013-04-01T00:00:00.000Z
2094572091.28,2013-05-01T00:00:00.000Z
