aggregated_amount,time_period
2958298863.21,2008-01-01T00:00:00.000Z
766985064.11,2008-02-01T00:00:00.000Z
1587159663.8,2008-03-01T00:00:00.000Z
1117446506.15,2008-04-01T00:00:00.000Z
287688621.52,2008-05-01T00:00:00.000Z
972087508.94,2008-06-01T00:00:00.000Z
2026826698.32,2008-07-01T00:00:00.000Z
1674673225.93,2008-08-01T00:00:00.000Z
1817738299.1,2008-09-01T00:00:00.000Z
764606163.17,2008-10-01T00:00:00.000Z
692478047.06,2008-11-01T00:00:00.000Z
4590363129.17,2008-12-01T00:00:00.000Z
803824735.46,2009-01-01T00:00:00.000Z
978266741.49,2009-02-01T00:00:00.000Z
1505296318.81,2009-03-01T00:00:00.000Z
923221190.29,2009-04-01T00:00:00.000Z
1779655704.04,2009-05-01T00:00:00.000Z
823582509.86,2009-06-01T00:00:00.000Z
812112904.0,2009-07-01T00:00:00.000Z
726824489.36,2009-08-01T00:00:00.000Z
2428569633.79,2009-09-01T00:00:00.000Z
649362851.71,2009-10-01T00:00:00.000Z
714876596.42,2009-11-01T00:00:00.000Z
1195542318.25,2009-12-01T00:00:00.000Z
3258662225.74,2010-01-01T00:00:00.000Z
1947907225.78,2010-02-01T00:00:00.000Z
1451783283.91,2010-03-01T00:00:00.000Z
1013268160.8,2010-04-01T00:00:00.000Z
1223403872.01,2010-05-01T00:00:00.000Z
843652225.09,2010-06-01T00:00:00.000Z
818447041.02,2010-07-01T00:00:00.000Z
1006182666.29,2010-08-01T00:00:00.000Z
1495165298.09,2010-09-01T00:00:00.000Z
587126775.11,2010-10-01T00:00:00.000Z
555691774.83,2010-11-01T00:00:00.000Z
1415581130.79,2010-12-01T00:00:00.000Z
2839621761.11,2011-01-01T00:00:00.000Z
868541102.89,2011-02-01T00:00:00.000Z
1085058151.92,2011-03-01T00:00:00.000Z
1828592860.54,2011-04-01T00:00:00.000Z
1247278151.35,2011-05-01T00:00:00.000Z
1563033578.92,2011-06-01T00:00:00.000Z
865733581.6,2011-07-01T00:00:00.000Z
1001073327.19,2011-08-01T00:00:00.000Z
6033739830.43,2011-09-01T00:00:00.000Z
968583572.86,2011-10-01T00:00:00.000Z
479238186.57,2011-11-01T00:00:00.000Z
1482673943.13,2011-12-01T00:00:00.000Z
3054043200.63,2012-01-01T00:00:00.000Z
2372027309.64,2012-02-01T00:00:00.000Z
863816495.98,2012-03-01T00:00:00.000Z
1038362454.21,2012-04-01T00:00:00.000Z
809100508.84,2012-05-01T00:00:00.000Z
970772938.66,2012-06-01T00:00:00.000Z
556340438.27,2012-07-01T00:00:00.000Z
645201929.84,2012-08-01T00:00:00.000Z
2067426354.06,2012-09-01T00:00:00.000Z
681123073.25,2012-10-01T00:00:00.000Z
644567669.97,2012-11-01T00:00:00.000Z
4341043065.16,2012-12-01T00:00:00.000Z
607761519.29,2013-01-01T00:00:00.000Z
471915454.3,2013-02-01T00:00:00.000Z
699574958.86,2013-03-01T00:00:00.000Z
394576233.26,2013-04-01T00:00:00.000Z
977974624.16,2013-05-01T00:00:00.000Z
1491049719.48,2013-06-01T00:00:00.000Z
830749915.3,2013-07-01T00:00:00.000Z
908878900.54,2013-08-01T00:00:00.000Z
1899545063.17,2013-09-01T00:00:00.000Z
193619316.08,2013-10-01T00:00:00.000Z
550066853.76,2013-11-01T00:00:00.000Z
1102600931.47,2013-12-01T00:00:00.000Z
209354870.56,2014-01-01T00:00:00.000Z
1173911468.99,2014-02-01T00:00:00.000Z
1943213266.85,2014-03-01T00:00:00.000Z
4370407753.88,2014-04-01T00:00:00.000Z
802349212.82,2014-05-01T00:00:00.000Z
805420440.7,2014-06-01T00:00:00.000Z
1928020870.66,2014-07-01T00:00:00.000Z
640227432.22,2014-08-01T00:00:00.000Z
1734534743.84,2014-09-01T00:00:00.000Z
444896030.93,2014-10-01T00:00:00.000Z
322603761.68,2014-11-01T00:00:00.000Z
1164342463.38,2014-12-01T00:00:00.000Z
4508144945.72,2015-01-01T00:00:00.000Z
752742024.13,2015-02-01T00:00:00.000Z
