aggregated_amount,time_period
4239353758.6,2008-01-01T00:00:00.000Z
2195515280.17,2008-02-01T00:00:00.000Z
2820009483.99,2008-03-01T00:00:00.000Z
2246725105.19,2008-04-01T00:00:00.000Z
2836378784.51,2008-05-01T00:00:00.000Z
2008343740.71,2008-06-01T00:00:00.000Z
2968425412.15,2008-07-01T00:00:00.000Z
1509514388.09,2008-08-01T00:00:00.000Z
3247345124.98,2008-09-01T00:00:00.000Z
3936857137.11,2008-10-01T00:00:00.000Z
4630619998.01,2008-11-01T00:00:00.000Z
5430966778.8,2008-12-01T00:00:00.000Z
1747718172.16,2009-01-01T00:00:00.000Z
2920090063.18,2009-02-01T00:00:00.000Z
3584703300.81,2009-03-01T00:00:00.000Z
2466700621.44,2009-04-01T00:00:00.000Z
3296930830.98,2009-05-01T00:00:00.000Z
3389597233.92,2009-06-01T00:00:00.000Z
2293754492.04,2009-07-01T00:00:00.000Z
1590590387.26,2009-08-01T00:00:00.000Z
2945118554.86,2009-09-01T00:00:00.000Z
1895237635.6,2009-10-01T00:00:00.000Z
2956350427.22,2009-11-01T00:00:00.000Z
4984624298.69,2009-12-01T00:00:00.000Z
3713526306.5,2010-01-01T00:00:00.000Z
2565808791.07,2010-02-01T00:00:00.000Z
2956600881.82,2010-03-01T00:00:00.000Z
2261005755.63,2010-04-01T00:00:00.000Z
1622060971.53,2010-05-01T00:00:00.000Z
2752169552.94,2010-06-01T00:00:00.000Z
2579123536.51,2010-07-01T00:00:00.000Z
1698578366.58,2010-08-01T00:00:00.000Z
5229566469.27,2010-09-01T00:00:00.000Z
2517950157.19,2010-10-01T00:00:00.000Z
5525799448.04,2010-11-01T00:00:00.000Z
5758501788.39,2010-12-01T00:00:00.000Z
2987878407.47,2011-01-01T00:00:00.000Z
2303438172.55,2011-02-01T00:00:00.000Z
3679177620.89,2011-03-01T00:00:00.000Z
1831435990.85,2011-04-01T00:00:00.000Z
3872045480.06,2011-05-01T00:00:00.000Z
3678583618.41,2011-06-01T00:00:00.000Z
2332264960.82,2011-07-01T00:00:00.000Z
3021780278.15,2011-08-01T00:00:00.000Z
2703041074.61,2011-09-01T00:00:00.000Z
2033153970.59,2011-10-01T00:00:00.000Z
1935440791.52,2011-11-01T00:00:00.000Z
6139154586.97,2011-12-01T00:00:00.000Z
2917260813.97,2012-01-01T00:00:00.000Z
3958518955.79,2012-02-01T00:00:00.000Z
4134010462.94,2012-03-01T00:00:00.000Z
2789451924.62,2012-04-01T00:00:00.000Z
2108861621.71,2012-05-01T00:00:00.000Z
3252513550.56,2012-06-01T00:00:00.000Z
1387810788.12,2012-07-01T00:00:00.000Z
2845594483.33,2012-08-01T00:00:00.000Z
4098524298.0,2012-09-01T00:00:00.000Z
4318929719.67,2012-10-01T00:00:00.000Z
2235288251.96,2012-11-01T00:00:00.000Z
9166579684.06,2012-12-01T00:00:00.000Z
917100508.21,2013-01-01T00:00:00.000Z
2187062583.11,2013-02-01T00:00:00.000Z
1860121703.17,2013-03-01T00:00:00.000Z
2339408355.85,2013-04-01T00:00:00.000Z
1722842180.58,2013-05-01T00:00:00.000Z
3013282817.17,2013-06-01T00:00:00.000Z
2981098178.62,2013-07-01T00:00:00.000Z
2434464338.38,2013-08-01T00:00:00.000Z
11103535975.24,2013-09-01T00:00:00.000Z
1897089615.06,2013-10-01T00:00:00.000Z
1398882477.95,2013-11-01T00:00:00.000Z
4061874205.61,2013-12-01T00:00:00.000Z
