aggregated_amount,time_period
1025608906.0,2008-01-01T00:00:00.000Z
10136719.0,2008-02-01T00:00:00.000Z
893800018.0,2008-03-01T00:00:00.000Z
9764652.0,2008-04-01T00:00:00.000Z
32414754.0,2008-05-01T00:00:00.000Z
8749705.0,2008-06-01T00:00:00.000Z
11676545.0,2008-07-01T00:00:00.000Z
20654568.0,2008-08-01T00:00:00.000Z
29859659.0,2008-09-01T00:00:00.000Z
44402398.0,2008-10-01T00:00:00.000Z
31881688.0,2008-11-01T00:00:00.000Z
57097821.0,2008-12-01T00:00:00.000Z
36649064.0,2009-01-01T00:00:00.000Z
113689955.0,2009-02-01T00:00:00.000Z
277633068.0,2009-03-01T00:00:00.000Z
82173374.0,2009-04-01T00:00:00.000Z
-36709332.0,2009-05-01T00:00:00.000Z
260713932.38,2009-06-01T00:00:00.000Z
1055757902.0,2009-07-01T00:00:00.000Z
30944564.0,2009-08-01T00:00:00.000Z
22653879.0,2009-09-01T00:00:00.000Z
2822261.0,2009-10-01T00:00:00.000Z
-167184185.0,2009-11-01T00:00:00.000Z
38849361.0,2009-12-01T00:00:00.000Z
12517251.0,2010-01-01T00:00:00.000Z
43035343.0,2010-02-01T00:00:00.000Z
2636236.0,2010-03-01T00:00:00.000Z
103767080.0,2010-04-01T00:00:00.000Z
17482608.0,2010-05-01T00:00:00.000Z
-553010316.0,2010-06-01T00:00:00.000Z
9633260.67,2010-07-01T00:00:00.000Z
59768897.0,2010-08-01T00:00:00.000Z
26537767.0,2010-09-01T00:00:00.000Z
82801875.0,2010-10-01T00:00:00.000Z
183331879.18,2010-11-01T00:00:00.000Z
829015439.67,2010-12-01T00:00:00.000Z
337218367.31,2011-01-01T00:00:00.000Z
457417502.46,2011-02-01T00:00:00.000Z
494800163.48,2011-03-01T00:00:00.000Z
1934607691.7,2011-04-01T00:00:00.000Z
799180349.23,2011-05-01T00:00:00.000Z
758186124.12,2011-06-01T00:00:00.000Z
1354798508.24,2011-07-01T00:00:00.000Z
732379587.63,2011-08-01T00:00:00.000Z
1304320258.05,2011-09-01T00:00:00.000Z
541799435.7,2011-10-01T00:00:00.000Z
605012334.43,2011-11-01T00:00:00.000Z
738060654.76,2011-12-01T00:00:00.000Z
1428658414.26,2012-01-01T00:00:00.000Z
1092618579.81,2012-02-01T00:00:00.000Z
1015344896.54,2012-03-01T00:00:00.000Z
950300948.63,2012-04-01T00:00:00.000Z
849364389.77,2012-05-01T00:00:00.000Z
730189998.91,2012-06-01T00:00:00.000Z
672183382.99,2012-07-01T00:00:00.000Z
696193196.95,2012-08-01T00:00:00.000Z
1707830818.11,2012-09-01T00:00:00.000Z
957665979.11,2012-10-01T00:00:00.000Z
930700612.69,2012-11-01T00:00:00.000Z
831396562.64,2012-12-01T00:00:00.000Z
538458527.14,2013-01-01T00:00:00.000Z
581198124.38,2013-02-01T00:00:00.000Z
634057425.96,2013-03-01T00:00:00.000Z
644262664.63,2013-04-01T00:00:00.000Z
1037109162.87,2013-05-01T00:00:00.000Z
1057824289.96,2013-06-01T00:00:00.000Z
1322259889.52,2013-07-01T00:00:00.000Z
802371744.82,2013-08-01T00:00:00.000Z
