aggregated_amount,time_period
278654276.48,2008-01-01T00:00:00.000Z
961815207.81,2008-02-01T00:00:00.000Z
807139161.56,2008-03-01T00:00:00.000Z
242327712.39,2008-04-01T00:00:00.000Z
337779869.99,2008-05-01T00:00:00.000Z
400761168.77,2008-06-01T00:00:00.000Z
370836477.96,2008-07-01T00:00:00.000Z
565282982.36,2008-08-01T00:00:00.000Z
870958754.05,2008-09-01T00:00:00.000Z
1236990239.26,2008-10-01T00:00:00.000Z
174741026.12,2008-11-01T00:00:00.000Z
3087367717.03,2008-12-01T00:00:00.000Z
79286187.14,2009-01-01T00:00:00.000Z
215744934.31,2009-02-01T00:00:00.000Z
438949310.56,2009-03-01T00:00:00.000Z
466230022.72,2009-04-01T00:00:00.000Z
296446837.83,2009-05-01T00:00:00.000Z
387082828.48,2009-06-01T00:00:00.000Z
750563226.34,2009-07-01T00:00:00.000Z
251510764.73,2009-08-01T00:00:00.000Z
860174062.15,2009-09-01T00:00:00.000Z
241171021.78,2009-10-01T00:00:00.000Z
339777444.4,2009-11-01T00:00:00.000Z
870942525.76,2009-12-01T00:00:00.000Z
2242213661.43,2010-01-01T00:00:00.000Z
312403877.99,2010-02-01T00:00:00.000Z
615277702.14,2010-03-01T00:00:00.000Z
205462101.59,2010-04-01T00:00:00.000Z
642113892.21,2010-05-01T00:00:00.000Z
702962535.15,2010-06-01T00:00:00.000Z
510269739.11,2010-07-01T00:00:00.000Z
607417006.64,2010-08-01T00:00:00.000Z
1118766266.54,2010-09-01T00:00:00.000Z
326252730.64,2010-10-01T00:00:00.000Z
413612746.58,2010-11-01T00:00:00.000Z
1247780592.33,2010-12-01T00:00:00.000Z
1883536200.31,2011-01-01T00:00:00.000Z
429669207.9,2011-02-01T00:00:00.000Z
412286746.94,2011-03-01T00:00:00.000Z
439925735.37,2011-04-01T00:00:00.000Z
1322377902.14,2011-05-01T00:00:00.000Z
601785961.49,2011-06-01T00:00:00.000Z
94955172.17,2011-07-01T00:00:00.000Z
777321550.32,2011-08-01T00:00:00.000Z
518267568.64,2011-09-01T00:00:00.000Z
311255306.91,2011-10-01T00:00:00.000Z
263368610.64,2011-11-01T00:00:00.000Z
948165769.5,2011-12-01T00:00:00.000Z
782384511.61,2012-01-01T00:00:00.000Z
254946564.35,2012-02-01T00:00:00.000Z
310922667.45,2012-03-01T00:00:00.000Z
244539017.8,2012-04-01T00:00:00.000Z
433569849.06,2012-05-01T00:00:00.000Z
3217615803.61,2012-06-01T00:00:00.000Z
356539811.72,2012-07-01T00:00:00.000Z
584931606.04,2012-08-01T00:00:00.000Z
1178650976.44,2012-09-01T00:00:00.000Z
552123096.39,2012-10-01T00:00:00.000Z
1022795175.31,2012-11-01T00:00:00.000Z
1340133978.02,2012-12-01T00:00:00.000Z
85199130.04,2013-01-01T00:00:00.000Z
155441445.51,2013-02-01T00:00:00.000Z
313692399.09,2013-03-01T00:00:00.000Z
375962291.52,2013-04-01T00:00:00.000Z
379484125.08,2013-05-01T00:00:00.000Z
624497364.48,2013-06-01T00:00:00.000Z
257004585.53,2013-07-01T00:00:00.000Z
256131741.13,2013-08-01T00:00:00.000Z
745651221.63,2013-09-01T00:00:00.000Z
674900315.63,2013-10-01T00:00:00.000Z
431674863.22,2013-11-01T00:00:00.000Z
1155224821.23,2013-12-01T00:00:00.000Z
812302144.87,2014-01-01T00:00:00.000Z
157552211.41,2014-02-01T00:00:00.000Z
399525170.55,2014-03-01T00:00:00.000Z
479802655.21,2014-04-01T00:00:00.000Z
425135013.78,2014-05-01T00:00:00.000Z
800490923.89,2014-06-01T00:00:00.000Z
213410120.81,2014-07-01T00:00:00.000Z
211427188.6,2014-08-01T00:00:00.000Z
639661759.23,2014-09-01T00:00:00.000Z
1648711822.93,2014-10-01T00:00:00.000Z
1644759104.41,2014-11-01T00:00:00.000Z
353124506.91,2014-12-01T00:00:00.000Z
148029500.95,2015-01-01T00:00:00.000Z
599333258.83,2015-02-01T00:00:00.000Z
814638644.85,2015-03-01T00:00:00.000Z
369525012.93,2015-04-01T00:00:00.000Z
221213669.86,2015-05-01T00:00:00.000Z
394128337.75,2015-06-01T00:00:00.000Z
130589718.96,2015-07-01T00:00:00.000Z
175209159.26,2015-08-01T00:00:00.000Z
674096145.26,2015-09-01T00:00:00.000Z
259499859.33,2015-10-01T00:00:00.000Z
1361099345.05,2015-11-01T00:00:00.000Z
886612603.19,2015-12-01T00:00:00.000Z
183639369.45,2016-01-01T00:00:00.000Z
76490299.47,2016-02-01T00:00:00.000Z
226009426.06,2016-03-01T00:00:00.000Z
1313730930.21,2016-04-01T00:00:00.000Z
89476213.77,2016-05-01T00:00:00.000Z
